id,source,country,title,date,century,type,medium,place,accession,credit,provenance,openImage,image,url,dataLicence,matchBasis,strength
aic-58540,Art Institute of Chicago,USA,Tiered Offering Mandala of the Goddess of Wealth (Vasudhara),19th century,19th c.,Religious/Ritual Object,Silver repoussé and gilt copper,Nepal,1979.616,Russell Tyson Fund,"Robert Stolper, London; sold to the Art Institute of Chicago, Nov. 27, 1979.",True,"https://www.artic.edu/iiif/2/3f5efc6f-52b0-d374-308b-34ca095d8624/full/843,/0/default.jpg",https://www.artic.edu/artworks/58540,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-137222,Art Institute of Chicago,USA,Tantric Deities Hevajra and Nairatmya in Ritual Embrace (Yab-Yum),c. 1600,17th c.,Sculpture,Gilt bronze with pigments,Kathmandu Valley,2010.574,Gift of the Alsdorf Foundation,"Bharany, New Delhi; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Sep. 26, 1974 [handwritten note by James W. Alsdorf; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, June 26, 1978; promised as a gift to the Art Institute of Chicago, Mar. 11, 2002]; given to the Art Institute of Chicago, Dec. 31, 2010.",True,"https://www.artic.edu/iiif/2/cf932528-92bb-77f8-51d0-145f681643df/full/843,/0/default.jpg",https://www.artic.edu/artworks/137222,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-130706,Art Institute of Chicago,USA,Four-Armed Dancing God Ganesha with His Rat Mount,16th/17th century,17th c.,Sculpture,Gilt bronze repoussé,Nepal,2008.701,Gift of Marilynn B. Alsdorf,"Stolper Galleries, Munich; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Feb. 4, 1979 [invoice from Stolper Galleries, Feb. 4, 1979; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990; given to the Art Institute of Chicago, 2008.",True,"https://www.artic.edu/iiif/2/17b6114e-8e8a-ad69-3474-0c60201d85e7/full/843,/0/default.jpg",https://www.artic.edu/artworks/130706,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-131742,Art Institute of Chicago,USA,Eight-Armed Dancing God Ganesha,17th century,17th c.,Architectural fragment,Wood,Kathmandu Valley,2014.1042,Gift of Marilynn B. Alsdorf,"Galerie Marco Polo, Paris; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, June 2, 1979 [invoice from Galerie Marco Polo, June 2, 1979; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, Sept. 22, 1983; signed a promised gift agreement for the work, 2008]; given to the Art Institute of Chicago, 2014.",True,"https://www.artic.edu/iiif/2/deed0b16-996a-52e7-6999-b469f475f842/full/843,/0/default.jpg",https://www.artic.edu/artworks/131742,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-99489,Art Institute of Chicago,USA,"God Vishnu Riding His Mount, Garuda",17th century,17th c.,Sculpture,Schist,Nepal,1982.1450,Bertha Evans Brown Fund,"Ferruccio Abbiati, Alessandria, Italy; sold to the Art Institute of Chicago, 1982.",True,"https://www.artic.edu/iiif/2/88f8fda0-6f96-7f35-b5cb-99977b578f18/full/843,/0/default.jpg",https://www.artic.edu/artworks/99489,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-142517,Art Institute of Chicago,USA,Double-Sided Painted Banner (Paubha) with God Shiva,16th-17th century,17th c.,Painting,Pigment and gold on cotton,Nepal,1995.268a-b,Kate S. Buckingham Fund,"James Singer, London; sold to the Art Institute of Chicago, Oct. 16, 1995.",True,"https://www.artic.edu/iiif/2/6847bea2-8d1a-cc2e-c9ae-da6be0ae8192/full/843,/0/default.jpg",https://www.artic.edu/artworks/142517,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-104992,Art Institute of Chicago,USA,"God Vishnu Astride His Mount, Garuda",17th/18th century,18th c.,Sculpture,Gilt bronze,Nepal,1985.1034,James W. and Marilynn Alsdorf Collection,"Possibly with Marco Polo Galleries, Paris; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Jan. 26, 1979 [receipt from Marco Polo Galleries, Jan. 26, 1979; copy in curatorial object file]; given to the Art Institute of Chicago, Dec. 30, 1985.",True,"https://www.artic.edu/iiif/2/9f4d4686-9420-0c2b-dfc2-35f2c789074e/full/843,/0/default.jpg",https://www.artic.edu/artworks/104992,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-140601,Art Institute of Chicago,USA,Vase of Longevity (Kalasha) with Buddha Amitabha,17th century,17th c.,Religious/Ritual Object,"Gilded copper inlaid with semiprecious stones, with brass elements",Nepal,1995.202,Avery Brundage Fund,"Ramesh Kapoor, New York; sold to the Art Institute of Chicago, July 5, 1995.",True,"https://www.artic.edu/iiif/2/885b20f9-0166-5866-9f76-3ec9444c6f4c/full/843,/0/default.jpg",https://www.artic.edu/artworks/140601,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-47169,Art Institute of Chicago,USA,Bodhisattva Avalokiteshvara Seated with Hand in Gesture of Reassurance (Abhayamudra),15th/16th century,16th c.,Sculpture,Gilt bronze with gemstones,Nepal,1974.237,Kate S. Buckingham Fund,"Marinos Costeletos (1934–2022), London; sold to the Art Institute of Chicago, June 16, 1975.",True,"https://www.artic.edu/iiif/2/c006b17d-10ad-8deb-b43c-2e061d494bf9/full/843,/0/default.jpg",https://www.artic.edu/artworks/47169,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-8179,Art Institute of Chicago,USA,Box,19th/20th century,20th c.,Decorative Arts,"Silver, nephrite jade, caboshon rubies, and aventurine green",Nepal,1958.382,Unrestricted Gift from Mrs. Daniel Green,"Mrs. Daniel C. Green, Chicago; given to the Art Institute of Chicago, Oct. 15, 1958.",True,"https://www.artic.edu/iiif/2/7e5f12f4-14ec-a8b7-7f78-0e8502bed92b/full/843,/0/default.jpg",https://www.artic.edu/artworks/8179,CC0 (description field CC-BY),place_of_origin: Nepal,strong
