Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_20/611a8082_796b_4dbb_8879_a3be0155220f/preview_00466989_001.jpg,container (object name); alcohol equipment (object name),"No: Optional[As1981,26.108]",,,,"Container (for spirit, alcohol) made of wood, silver.; ",,,,,,,,,Made in: Nepal,Found/Acquired: Sudi,wood; silver,,,,"6.40 centimetres;  10.80 centimetres;  107.00 grammes; ",,The alcoholic spirit this container would contain is called 'rakshi'.,,Not on display,,,,,,,,Purchased from: Ken Teague,,,Purchased from: Ken Teague,1981,,,Asia,,"As1981,26.108",,,
"",altar-piece (object name),"No: Optional[1927,0613.1]",,,,"Altar-piece. Made of stones (precious), stones (semi-precious) filigree metal.; ",,,,,,,,18thC-19thC,,Found/Acquired: Nepal,metal; stone,,,filigree,"4.29 feet; ",,,,Not on display,,,religious object,,,,,Purchased from: Dr Walter Leo Hildburgh (price £50),,,Purchased from: Dr Walter Leo Hildburgh (price £50),1927,"Purchased from Dr W L Hildburgh and recorded as ""Lamaistic, Napalese work by 'Nawari' craftsmen, probably late 18th century"".",,Asia,,"1927,0613.1",,,
"",shrine (object name); amulet-case (object name); amulet (object name); ts'a-ts'a (object name),"No: Optional[1928,0515.3]",,,,"Shrine (with Tsa Tsa). Amulet case(?) + clay amulet(?). Lotus flowers and leaves on the front. Made of copper.; ",,,,,,,,,,Found/Acquired: Nepal,copper,,,,"15.70 centimetres;  15.00 centimetres;  5.50 centimetres; ",,,,Not on display,,,leaf; lotus,,,,,Purchased from: H W Underwood,,,Purchased from: H W Underwood,1928,,,Asia,,"1928,0515.3",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_5/252d5c1f_38a4_40f1_9f4e_a3bb005c5ab0/preview_00304617_001.jpg,amulet-case (object name),"No: Optional[1962,0215.1]",,,,"Case (amulet). Made of turquoise, garnet inlaid and filigree and gilded silver.; ",,,,,,,,18thC-19thC,,Found/Acquired: Nepal,silver; turquoise; garnet; gold,,,inlaid; filigree; gilded,"5.34 centimetres; ",,,,Not on display,,,,,,,,Purchased from: Berkeley Galleries,Funded by: Brooke Sewell Permanent Fund,,Purchased from: Berkeley Galleries,1962,,,Asia,,"1962,0215.1",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_6/113f39fa_8c49_4c55_9839_a3bb00682ca8/00308362_001.JPG,knife (object name); animal equipment (object name),"No: Optional[As2000,12.5]",,,,"Shearing knife (""ainse""); made of metal; slightly curved metal blade, sharpened along inside of curve attached to carved wooden handle.; ",,,,,,,,1976,Made in: Nepal,,metal; wood,,,carved,"2.60 centimetres;  206.00 grammes;  37.20 centimetres;  7.30 centimetres; ",,"Sheep are shorn standing up with head held by someone else or in forked stick stuck in ground. Made by village blacksmith, who can also make blunderbuss for £8. See Ryder, M. L. Sheep and Man. London: Gerald Duckworth & Co. Ltd., 1983 p. 283.",,Not on display,,,,,,,,Donated by: Michael Ryder,,,Donated by: Michael Ryder,2000,,,Asia,,"As2000,12.5",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/8_15/fdfa0301_8a9f_44bc_a94e_a3dd00faa6db/preview_01376103_001.jpg,anklet (object name),"No: Optional[As1954,05.87]",,,,"Register 1954: Silver anklet, penannular.; ",,,,,,,,19thC (?),Made in: Nepal,Found/Acquired: Chin Hills,silver,,,,"11.50 centimetres;  1.30 centimetres;  209.00 grammes; ",,"Register 1954:
Java.
Obtained in the Chin hills, Burma, from an old Gurkha retired from the Burmese police; of Nepalese manufacture.",,Not on display,,,,,,,,Donated by: D R Hay-Neave,,,Donated by: D R Hay-Neave,1954,,,Asia,,"As1954,05.87",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/8_15/4d53e69f_a2c2_4ce9_bc83_a3dd00faa189/preview_01376100_001.jpg,anklet (object name),"No: Optional[As1954,05.86]",,,,"Register 1954: Silver anklet, penannular.; ",,,,,,,,19thC (?),Made in: Nepal,Found/Acquired: Chin Hills,silver,,,,"11.50 centimetres;  1.50 centimetres;  208.00 grammes; ",,"Register 1954:
Java.
Obtained in the Chin hills, Burma, from an old Gurkha retired from the Burmese police; of Nepalese manufacture.",,Not on display,,,,,,,,Donated by: D R Hay-Neave,,,Donated by: D R Hay-Neave,1954,,,Asia,,"As1954,05.86",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/71f43677_b8f8_4c60_800b_a3b8013a1814/preview_00324867_001.jpg,apron (object name),"No: Optional[As1992,10.19]",,,,"A woman's apron, made of wool; three striped panels sewn together.; ",,,,,,,,20thC,Made in: Nepal,Found/Acquired: Nepal,wool,,,,"72.00 centimetres;  64.50 centimetres; ",,,,Not on display,,,,,,,,Purchased from: Mrs Susi Dunsmore,,,Purchased from: Mrs Susi Dunsmore,1992,Commissioned collection.,,Asia,,"As1992,10.19",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/9a4b5155_dbc3_4eb6_9e0b_a3b8013a731e/preview_00324864_001.jpg,apron (object name),"No: Optional[As1992,10.20]",,,,"A woman's apron, made of wool with cotton ties.; ",,,,,Sherpa,,,20thC,Made in: Nepal,Found/Acquired: Nepal,wool; cotton,,,,"61.00 centimetres;  47.00 centimetres; ",,,,Not on display,,,,,,,,Purchased from: Mrs Susi Dunsmore,,,Purchased from: Mrs Susi Dunsmore,1992,Commissioned collection.,,Asia,,"As1992,10.20",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/8_15/ce4f05b3_cdc0_412b_be17_a3dd00faa9c3/preview_01376212_001.jpg,artefact (object name),"No: Optional[As1954,05.79]",,,,"Register 1954: Grey metal hollow artefact in two parts.; ",,,,,,,,,,Found/Acquired: Nepal,metal,,,,"3.00 centimetres;  60.00 grammes;  8.25 centimetres;  2.25 centimetres; ",,"Register 1954:
Nepal.",,Not on display,,,,,,,,Donated by: D R Hay-Neave,,,Donated by: D R Hay-Neave,1954,,,Asia,,"As1954,05.79",,,
